innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,index,Partnership_broken,match,innings_action,overturned,review_lost,first_review_lost,second_review_lost,overturned_decisions,ratio_overturned,team,bowler
New Zealand 2nd innings,103.2,"Dhananjaya de Silva to Ajaz Patel, no run, appeal for LBW and Sri Lanka want a review. The impact was definitely outside off, but Ajaz wasn't playing a shot. Did it spin back enough to hit the stumps? It's missing and Sri Lanka have now lost both reviews. Fraction short and spinning back into the left-hander, Ajaz was caught in between playing and leaving, left it at the last moment and was hit on the pads",10,"Over 103.2: Review by Sri Lanka (Bowling), Umpire - MA Gough, Batsman - AY Patel (Struck down)",Sri Lanka (Bowling),AY Patel,MA Gough,Struck down,False,10.0,False,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Bowling,False,True,False,True,4,0.2857142857142857,Sri Lanka,Dhananjaya de Silva
New Zealand 2nd innings,61.6,"Dananjaya to Watling, no run, wrong 'un and not sure Watling picked it, he pressed forward to defend and the ball grazes the inside edge before hitting the pad, the impact was in-line with middle and that prompted Sri Lanka to take the review. Guess no one spotted the tiny bit of wood. Only one review left for the hosts",7,"Over 61.6: Review by Sri Lanka (Bowling), Umpire - MA Gough, Batsman - BJ Watling (Struck down)",Sri Lanka (Bowling),BJ Watling,MA Gough,Struck down,False,6.0,False,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Bowling,False,True,True,False,4,0.2857142857142857,Sri Lanka,Dananjaya
Sri Lanka 1st innings,88.5,"Boult to Lasith Embuldeniya, no run, loud shout for LBW and KW will not get any advice from the close-in cordon, makes a belated call for a review. To the naked eye, this looked like slipping down leg. It's a fair ball and it has missed the bat. UltraEdge confirms it. The impact is in front of leg and the angle should be taking it past the leg-stump. Missing and New Zealand have lost their second review as well. This was very full and kept sliding down the leg-side, Embuldeniya was looking to flick and missed",9,"Over 88.5: Review by New Zealand (Bowling), Umpire - MA Gough, Batsman - L Embuldeniya (Struck down)",New Zealand (Bowling),L Embuldeniya,MA Gough,Struck down,False,9.0,False,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Bowling,False,True,False,True,4,0.2857142857142857,New Zealand,Boult
Sri Lanka 1st innings,27.1,"Santner to Kusal Mendis, no run, Santner gets it to skid off the deck and Kusal Mendis misses the tuck. It rapped him on the pads but was sliding down. It didn't straighten enough but  Kane thought otherwise and went for the review, he was proved wrong within a minute. New Zealand lose their review too",3,"Over 27.1: Review by New Zealand (Bowling), Umpire - RK Illingworth, Batsman - BKG Mendis (Struck down)",New Zealand (Bowling),BKG Mendis,RK Illingworth,Struck down,False,1.0,False,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Bowling,False,True,True,False,4,0.2857142857142857,New Zealand,Santner
South Africa 1st innings,41.3,"Ashwin to George Linde, no run, George Linde went for the slog across the line and missed it. The ball hit him on the front pad and the impact was on leg-stick. There was no bat as HawkEye clarified but that was also going down leg. But was it a slider? Not sure",9,"Over 41.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - GF Linde (Struck down)",India (Bowling),GF Linde,NJ Llong,Struck down,False,5.0,False,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Bowling,False,True,False,True,2,0.25,India,Ashwin
South Africa 1st innings,27.3,"Jadeja to Zubayr Hamza, no run, India review: This looks to be sliding down the leg side to the naked eye. India might lose their review. Yup, they have. Was a fullish delivery around middle and leg, Zubayr Hamza was trying to defend it, but the ball kept straight and struck him on the pads. Impact was on leg, but the angle was taking it down the leg side. Reviews left: South Africa - 2 | India - 1",4,"Over 27.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - Zubayr Hamza (Struck down)",India (Bowling),Zubayr Hamza,NJ Llong,Struck down,False,1.0,False,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,2,0.25,India,Jadeja
India 1st innings,80.4,"D Piedt to Rohit, leg byes, 1 run, South Africa have a review: It's an ungainly slog sweep. Well, well, Sharma's clearly bored here with Piedt's negative lines from round the wicket into his pads. So he decides to have a slog-sweep, misses, but the balls pitching a cool few centimeters down leg",5,"Over 80.4: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - RG Sharma (Struck down)",South Africa (Bowling),RG Sharma,RK Illingworth,Struck down,False,8.0,False,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,2,0.25,South Africa,D Piedt
South Africa 2nd innings,43.1,"Jadeja to Bavuma, no run, loud shout for LBW and then RJ thinks there might be bat there, somehow convinces Kohli into a review. It's a fair delivery, don't think there's any bat and I reckon the ball is spinning away from the stumps. UltraEdge confirms no bat/glove. It's a terrible review, the impact is miles outside off and India lose a review. This was tossed up outside off and spun away, Bavuma got a big stride across as he looked to lap and missed",6,"Over 43.1: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - T Bavuma (Struck down)",India (Bowling),T Bavuma,CB Gaffaney,Struck down,False,5.0,False,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,2,0.2,India,Jadeja
South Africa 1st innings,102.6,"Jadeja to Rabada, no run, in-turner, Rabada looks play against the break. The keeper takes it and there's an appeal for caught-behind. Not given and it's been challenged. Fair delivery. Spun a long way and it missed the inside edge by a long way. India have burnt a review here",10,"Over 102.6: Review by India (Bowling), Umpire - NJ Llong, Batsman - K Rabada (Struck down)",India (Bowling),K Rabada,NJ Llong,Struck down,False,8.0,False,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,2,0.2,India,Jadeja
India 1st innings,100.1,"Maharaj to Rahane, no run, Loud shout for LBW, Faf has a chat with his keeper and South Africa will review. It's a fair delivery, but did it pitch outside leg? No bat and UltraEdge confirms it. He's struck bang in front of middle, but the ball has pitched outside leg. South Africa will lose their first review. NOT OUT is the call. Lovely first delivery from Maharaj, tossed up from round the wicket, drifted in and then spun across the right-hander, opened up Rahane completely as he went back in defence",4,"Over 100.1: Review by South Africa (Bowling), Umpire - CB Gaffaney, Batsman - AM Rahane (Struck down)",South Africa (Bowling),AM Rahane,CB Gaffaney,Struck down,False,3.0,False,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,2,0.2,South Africa,Maharaj
India 2nd innings,52.6,"Philander to Jadeja, no run, Review by SA for LBW! Skids through quickly from a good length spot, and has his bat and pad together in defence. There's a spike on UltraEdge when the ball passes the pad before getting to the bat. The third umpire is convinced it's pad first! Umpire's call on impact, wickets missing, and South Africa lose one review.",3,"Over 52.6: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - RA Jadeja (Struck down)",South Africa (Bowling),RA Jadeja,RK Illingworth,Struck down,False,8.0,False,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,3,0.3,South Africa,Philander
South Africa 1st innings,108.5,"Shami to Senuran Muthusamy, no run, was always a risky review from India who were clearly getting frustrated with the Protea defiance today. This was the in-angler from a good length, rapping Muthusamy on the pad in front of leg stump. Looked to be going down leg in real time and HawkEye confirms the same. Review lost!",7,"Over 108.5: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - S Muthusamy (Struck down)",India (Bowling),S Muthusamy,CB Gaffaney,Struck down,False,1.0,False,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Bowling,False,True,True,False,3,0.3,India,Shami
Bangladesh 2nd innings,8.3,"Ishant to Rahim, leg byes, 1 run, highly optimistic LBW appeal and review from Ishant. Too much movement, Saha should have said no for the DRS. They were hoping to get away with umpire's call but ball-tracker says missing leg stump. Rahim is beaten on the flick by this big inswinger, impact on middle and leg, Ishant was adamant about the review. Most bowlers are",6,"Over 8.3: Review by India (Bowling), Umpire - M Erasmus, Batsman - Mushfiqur Rahim (Struck down)",India (Bowling),Mushfiqur Rahim,M Erasmus,Struck down,False,8.0,False,ind-vs-ban-2nd-test-bangladesh-tour-of-india-2019,Bowling,False,True,True,False,3,0.375,India,Ishant
Bangladesh 1st innings,7.2,"Shami to Shadman Islam, no run, this is a brilliant decision from umpire Marais Erasmus. Shami ran in to get this short of length delivery to cut back in, Islam was beaten on the defence, clear sound and big deviation as well, it looked like a definite edge but Marais was so calm and shook his head. India had a chat and then reviewed. On the first replay, it was evident the bat was a long way away and it just went off the thigh pad. Islam looking behind also confused many. That was a stunning right-handed diving grab by Saha though",2,"Over 7.2: Review by India (Bowling), Umpire - M Erasmus, Batsman - Shadman Islam (Struck down)",India (Bowling),Shadman Islam,M Erasmus,Struck down,False,6.0,False,ind-vs-ban-2nd-test-bangladesh-tour-of-india-2019,Bowling,False,True,True,False,3,0.375,India,Shami
Bangladesh 2nd innings,13.4,"U Yadav to Mithun, no run, tailed in a long way and Mithun plays down the wrong line only to get rammed on the front pad. Umpire Marais Erasmus shook his head and in the end, he was proved right. The angle and excess movement took it down leg",4,"Over 13.4: Review by India (Bowling), Umpire - M Erasmus, Batsman - Mohammad Mithun (Struck down)",India (Bowling),Mohammad Mithun,M Erasmus,Struck down,False,5.0,False,ind-vs-ban-1st-test-bangladesh-tour-of-india-2019,Bowling,False,True,False,True,3,0.5,India,U Yadav
Bangladesh 2nd innings,5.5,"U Yadav to Mominul, no run, loud shout for LBW, did the ball come back enough to hit the stump? Anyway, India have decided to review. No shot offered, so the impact doesn't matter. It's a fair delivery. Don't think the ball has come back enough and ball-tracking confirms it. Good call from Erasmus, it's NOT OUT. India lose their first review, on a good length and just a hint of nip back into the left-hander, Mominul covered the line and then let it go, brushed the pads on its way to the keeper and that got the Indians excited",2,"Over 5.5: Review by India (Bowling), Umpire - M Erasmus, Batsman - Mominul Haque (Struck down)",India (Bowling),Mominul Haque,M Erasmus,Struck down,False,2.0,False,ind-vs-ban-1st-test-bangladesh-tour-of-india-2019,Bowling,False,True,True,False,3,0.5,India,U Yadav
Australia 2nd innings,48.6,"Jofra Archer to Wade, no run, England review -- Okay, Wade is undone by the pace here as he falls over on the flick and is struck on the front pad. There's no doubt that it's hitting the stumps, but then, it's pitching down leg, comfortably. It was always going to be dodgy with these over the wicket angles to left-handers",6,"Over 48.6: Review by England (Bowling), Umpire - M Erasmus, Batsman - MS Wade (Struck down)",England (Bowling),MS Wade,M Erasmus,Struck down,False,7.0,False,eng-vs-aus-5th-test-the-ashes-2019,Bowling,False,True,False,True,5,0.38461538461538464,England,Jofra Archer
Australia 2nd innings,44.1,"Jofra Archer to Paine, no run, caught at short leg. Marais Erasmus is unmoved. England review. Clearly, no bat. Even UltraEdge isn't needed. Over to HawkEye now. Comfortably missing leg. England have burnt a review here. Bad call to send it upstairs. A pacy in-slanter and Paine is beaten for pace as he looks to work it through the leg-side, misses the inside edge and pings the front leg before going into the hands of the short leg fielder",6,"Over 44.1: Review by England (Bowling), Umpire - M Erasmus, Batsman - TD Paine (Struck down)",England (Bowling),TD Paine,M Erasmus,Struck down,False,3.0,False,eng-vs-aus-5th-test-the-ashes-2019,Bowling,False,True,True,False,5,0.38461538461538464,England,Jofra Archer
Australia 1st innings,32.3,"Woakes to Wade, no run, So England review an LBW. Clearly nobody's trusting the umpires any longer. Wade's trapped on the back foot as this one nips in, beats his inside edge and smashes him on the front pad. But, but, it's high on the flap -- and HawkEye shows him to have shuffled across a little too much, striking him on umpire's call with the line of off, and then angling away and missing",4,"Over 32.3: Review by England (Bowling), Umpire - HDPK Dharmasena, Batsman - MS Wade (Struck down)",England (Bowling),MS Wade,HDPK Dharmasena,Struck down,False,5.0,False,eng-vs-aus-5th-test-the-ashes-2019,Bowling,False,True,True,False,5,0.38461538461538464,England,Woakes
England 1st innings,57.1,"Mitchell Marsh to Buttler, no run, an appeal for caught-down-the-leg-side. Not given and Australia decide to review. Fair delivery. A back of a length delivery on the ribs and Buttler missed the tuck. Clearly no inside edge  and the on-field call stays. Australia have burned a review here. It clipped the thigh pad before going into the mitts of the keeper",5,"Over 57.1: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - JC Buttler (Struck down)",Australia (Bowling),JC Buttler,M Erasmus,Struck down,False,4.0,False,eng-vs-aus-5th-test-the-ashes-2019,Bowling,False,True,True,False,5,0.38461538461538464,Australia,Mitchell Marsh
Australia 2nd innings,42.3,"Pat Cummins to Buttler, no run, good length ball outside off, Buttler lifts his bat and lets it go",6,"Over 42.3: Review by England (Bowling), Umpire - M Erasmus, Batsman - MA Starc (Struck down)",England (Bowling),MA Starc,M Erasmus,Struck down,False,10.0,False,eng-vs-aus-4th-test-the-ashes-2019,Bowling,False,True,False,True,1,0.1111111111111111,England,Pat Cummins
Australia 2nd innings,31.5,"Hazlewood to Denly, FOUR, shot! Full and outside off, Denly leans forward and drives it on the rise through cover. A dangerous shot to play but Denly usually fancies himself on the drive and this time he was able to middle it",5,"Over 31.5: Review by England (Bowling), Umpire - HDPK Dharmasena, Batsman - MS Wade (Struck down)",England (Bowling),MS Wade,HDPK Dharmasena,Struck down,False,8.0,False,eng-vs-aus-4th-test-the-ashes-2019,Bowling,False,True,True,False,1,0.1111111111111111,England,Hazlewood
England 2nd innings,76.1,"Pat Cummins to Bairstow, no run, fuller length delivery and holding its line outside off, has Bairstow pushing forward and beats him on the outside edge",6,"Over 76.1: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - C Overton (Struck down)",Australia (Bowling),C Overton,M Erasmus,Struck down,False,7.0,False,eng-vs-aus-4th-test-the-ashes-2019,Bowling,False,True,True,False,1,0.1111111111111111,Australia,Pat Cummins
Australia 1st innings,119.3,"Root to Starc, 1 run, that's a top decision from umpire Marais Erasmus. It was a real feather and he managed to spot that. Sliding on from round the wicket and Starc goes for the paddle, he was struck in-line but that was after the ball had brushed the glove",1,"Over 119.3: Review by England (Bowling), Umpire - M Erasmus, Batsman - MA Starc (Struck down)",England (Bowling),MA Starc,M Erasmus,Struck down,False,0.0,False,eng-vs-aus-4th-test-the-ashes-2019,Bowling,False,True,True,False,1,0.1111111111111111,England,Root
England 2nd innings,123.6,"Pat Cummins to Jack Leach, no run, leg-lined yorker. Leach can't lay bat, but it's pitching clearly down leg as he gets pinned on the front leg. There's barely an appeal, but when desperation hits, why not kill time in reviewing. So the Aussies do, and it's clearly pitching a foot down",10,"Over 123.6: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - MJ Leach (Struck down)",Australia (Bowling),MJ Leach,CB Gaffaney,Struck down,False,16.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,False,True,False,True,7,0.4117647058823529,Australia,Pat Cummins
England 2nd innings,58.4,"Lyon to Denly, no run, this time Australia have gone for the review, but ball-tracking shows that it's comfortably turning down leg. Denly's hit on the pad again but he's well forward and the turn is significant. Not a smart review",3,"Over 58.4: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - JL Denly (Struck down)",Australia (Bowling),JL Denly,JS Wilson,Struck down,False,7.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,False,True,True,False,7,0.4117647058823529,Australia,Lyon
Australia 2nd innings,7.4,"Broad to Marcus Harris, no run, and I'm sure they're going for the review. Yep, they are! An LBW shout, and it looked plumb! Not a no-ball. The seam wobbles, beats the inside edge, flat line on UltraEdge as the in-seamer beats the inside edge. Struck in line but that's seaming in too much from round the wicket - misses the leg-stump. A good decision by Mr. Wilson. My bad!",2,"Over 7.4: Review by England (Bowling), Umpire - JS Wilson, Batsman - MS Harris (Struck down)",England (Bowling),MS Harris,JS Wilson,Struck down,False,6.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,False,True,True,False,7,0.4117647058823529,England,Broad
Australia 2nd innings,45.4,"Jack Leach to Pat Cummins, no run, just a speculative review from Root. From over the wicket, this is clearly spinning away from off stump as Cummins pads up to it. Missing comfortably",7,"Over 45.4: Review by England (Bowling), Umpire - Aleem Dar, Batsman - PJ Cummins (Struck down)",England (Bowling),PJ Cummins,Aleem Dar,Struck down,False,7.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,False,True,2,0.15384615384615385,England,Jack Leach
Australia 2nd innings,25.1,"Woakes to Labuschagne, no run, it nipped back in sharply off the deck, Labuschagne was squared up totally, it beats his edge and strikes him on the pads. The umpire was not interested, Root took the matter upstairs but was proved wrong as the impact was outside off",4,"Over 25.1: Review by England (Bowling), Umpire - Aleem Dar, Batsman - M Labuschagne (Struck down)",England (Bowling),M Labuschagne,Aleem Dar,Struck down,False,4.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,True,False,2,0.15384615384615385,England,Woakes
England 2nd innings,40.1,"Hazlewood to Stokes, no run, a desperate review from Australia. Took it with just a second left. There was no excitement when the appeal was made for some of them suspected an inside edge and inside edge it was. Stokes shuffled down the pitch and eked out a fine edge onto his pad before falling across on the on-drive. Paine had a long chat with his bowler and went up for it almost reluctantly",5,"Over 40.1: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - BA Stokes (Struck down)",Australia (Bowling),BA Stokes,CB Gaffaney,Struck down,False,2.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,True,False,2,0.15384615384615385,Australia,Hazlewood
Australia 1st innings,72.3,"Jofra Archer to Pat Cummins, no run, England review: Fair delivery and it's missed everything. Nothing on the UltraEdge either. The onfield verdict will stay. A fiery bumper outside off, forces Cummins into a tangle on the hop as he tries to fend that, escapes past the elbow guard and carries to the keeper. There was some sound as the ball passed the bat, but there was no contact. Absolutely nothing. England felt they had him and went up for the review straightaway...",7,"Over 72.3: Review by England (Bowling), Umpire - Aleem Dar, Batsman - PJ Cummins (Struck down)",England (Bowling),PJ Cummins,Aleem Dar,Struck down,False,10.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,True,False,2,0.15384615384615385,England,Jofra Archer
Australia 1st innings,72.3,"Jofra Archer to Pat Cummins, no ball, Jofra Archer's overstepped! Full delivery on off and Cummins blocks it into the off-side",7,"Over 72.3: Review by England (Bowling), Umpire - Aleem Dar, Batsman - PJ Cummins (Struck down)",England (Bowling),PJ Cummins,Aleem Dar,Struck down,False,10.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,False,True,2,0.15384615384615385,England,Jofra Archer
England 1st innings,57.5,"Smith to Bairstow, no run, this looks like another waste of a review from Australia. Yes, well wide of the stumps. Bairstow shoulders arms to a slider which brushes his front pad on the way through. It has Paine and Smith excited, but it's not coming back enough",7,"Over 57.5: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - JM Bairstow (Struck down)",Australia (Bowling),JM Bairstow,CB Gaffaney,Struck down,False,5.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,False,True,2,0.15384615384615385,Australia,Smith
England 1st innings,15.6,"Lyon to Denly, no run, never looked out did it? Missing by a fair distance down the leg-side. It was on pitched on a slightly fuller length and Denly wasn't fully forward to it, tries to work it with the spin and gets beaten on the inside edge. The appeal wasn't strong but Lyon had a chat with his skipper and the latter went up straightaway....",3,"Over 15.6: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - JL Denly (Struck down)",Australia (Bowling),JL Denly,CB Gaffaney,Struck down,False,0.0,False,eng-vs-aus-2nd-test-the-ashes-2019,Bowling,False,True,True,False,2,0.15384615384615385,Australia,Lyon
England 2nd innings,44.4,"Siddle to Moeen Ali, no run, Australia have lost one review. The ball decks in sharply and beats Ali on the inside edge, the ball hit him above the kneeroll and the height was always going to be the issue. Ball-tracking confirmed it was, umpire Wilson getting a few back now",8,"Over 44.4: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - MM Ali (Struck down)",Australia (Bowling),MM Ali,JS Wilson,Struck down,False,18.0,False,eng-vs-aus-1st-test-the-ashes-2019,Bowling,False,True,True,False,10,0.5,Australia,Siddle
Australia 2nd innings,97.6,"Moeen Ali to Paine, no run, review time. England clearly have good reason to challenge umpire Dar's possible sixth blunder in this game -- but no, he'll stay on five for now. So Paine wasn't playing a shot to an in-spinning delivery from outside off, kicking it away with his right pad that was very deep in his crease. Sure there was big turn, but apparently not enough, missing off by a couple of inches",6,"Over 97.6: Review by England (Bowling), Umpire - Aleem Dar, Batsman - TD Paine (Struck down)",England (Bowling),TD Paine,Aleem Dar,Struck down,False,13.0,False,eng-vs-aus-1st-test-the-ashes-2019,Bowling,False,True,False,True,10,0.5,England,Moeen Ali
Australia 2nd innings,74.5,"Moeen Ali to Smith, no run, appeal. And England will take matters upstairs. It's Smith after all, and it's umpire Wilson after all. So Ali's gotten this one to spin in past Smith's forward defence -- but alas, HawkEye tells us there's a little too much of it, heading easily down leg",5,"Over 74.5: Review by England (Bowling), Umpire - JS Wilson, Batsman - SPD Smith (Struck down)",England (Bowling),SPD Smith,JS Wilson,Struck down,False,6.0,False,eng-vs-aus-1st-test-the-ashes-2019,Bowling,False,True,True,False,10,0.5,England,Moeen Ali
